duplicate_uid,profiles
947627183172,22
921360489558,18
825606622734,14
546554752146,10
896812884752,9
929709420924,5
222267081875,4
494978201465,4
618682743685,4
624225829792,4
125415681264,3
202187997259,3
202567713709,3
205373385729,3
207697634749,3
208487531090,3
213320817923,3
216128623805,3
218926548661,3
223019307685,3
225279503688,3
226056509095,3
227344077762,3
227527289288,3
228469667066,3
231180767590,3
231493030619,3
238832569644,3
239392026161,3
242905813018,3
247421556026,3
251911288149,3
252513408931,3
253203320167,3
254490631220,3
256338806799,3
260254373730,3
264505118254,3
264953911170,3
266387189081,3
268150845175,3
270027649347,3
270234191140,3
275269599011,3
277864196608,3
282820998329,3
286293836086,3
288675540791,3
300765891237,3
307901735972,3
316550199481,3
321456931632,3
333002263137,3
364119294773,3
366726080825,3
371264713297,3
377477814305,3
381445673875,3
384894406446,3
386457739628,3
387596363213,3
392559832959,3
393964956902,3
396680798339,3
398386701536,3
405455390178,3
406952393502,3
417414745087,3
417561784571,3
419482198641,3
419891477001,3
420659393011,3
428251872233,3
430351615138,3
430588858620,3
444510776837,3
445151599602,3
459296009321,3
459841729056,3
461368065931,3
468332124641,3
486436223245,3
490131485453,3
494673470576,3
498095559244,3
500159062208,3
503322810294,3
506747124771,3
509010604855,3
509612865963,3
514545833991,3
516396852224,3
522159689451,3
522283718692,3
528400047402,3
531164293450,3
538313192474,3
539451697476,3
541595138362,3
544845255255,3
